TIMESTAMP	NUMTWEETS
1350808500	7856
1350808800	7646
1350809100	7570
1350809400	7928
1350809700	7824
1350810000	8136
1350810300	7788
1350810600	7794
1350810900	7726
1350811200	7841
1350811500	7971
1350811800	8074
1350812100	8295
1350812400	8068
1350812700	8115
1350813000	8662
1350813300	9042
1350813600	9800
1350813900	9367
1350814200	8731
1350814500	8528
1350814800	8565
1350815100	8429
1350815400	8601
1350815700	8726
1350816000	8529
1350816300	9055
1350816600	8768
1350816900	8575
1350817200	9361
1350817500	9033
1350817800	9105
1350818100	9112
1350818400	9143
1350818700	9330
1350819000	9995
1350819300	9824
1350819600	9771
1350819900	9696
1350820200	10285
1350820500	10324
1350820800	10932
1350821100	10461
1350821400	10756
1350821700	10756
1350822000	10750
1350822300	10878
1350822600	11596
1350822900	11519
1350823200	11764
1350823500	11503
1350823800	11800
1350824100	11873
1350824400	12439
1350824700	12032
1350825000	11884
1350825300	12150
1350825600	12685
1350825900	12377
1350826200	12883
1350826500	12896
1350826800	12877
1350827100	12945
1350827400	13155
1350827700	12969
1350828000	13612
1350828300	13046
1350828600	13196
1350828900	13181
1350829200	13504
1350829500	13212
1350829800	13664
1350830100	13443
1350830400	13564
1350830700	13590
1350831000	13586
1350831300	13778
1350831600	14691
1350831900	13771
1350832200	13697
1350832500	13436
1350832800	13605
1350833100	13371
1350833400	13366
1350833700	13145
1350834000	12891
1350834300	13128
1350834600	12850
1350834900	12881
1350835200	13181
1350835500	12703
1350835800	12674
1350836100	12707
1350836400	12662
1350836700	12740
1350837000	12600
1350837300	12433
1350837600	12019
1350837900	12003
1350838200	11850
1350838500	12141
1350838800	12648
1350839100	12212
1350839400	12066
1350839700	12310
1350840000	12370
1350840300	12394
1350840600	11999
1350840900	11983
1350841200	11924
1350841500	11564
1350841800	11326
1350842100	11465
1350842400	11829
1350842700	11330
1350843000	11405
1350843300	11209
1350843600	11387
1350843900	11488
1350844200	11495
1350844500	11541
1350844800	11327
1350845100	11319
1350845400	11446
1350845700	11236
1350846000	12074
1350846300	11603
1350846600	11725
1350846900	11589
1350847200	11849
1350847500	12275
1350847800	12043
1350848100	12764
1350848400	12603
1350848700	12041
1350849000	12530
1350849300	13259
1350849600	13589
1350849900	12247
1350850200	11817
1350850500	11420
1350850800	11683
1350851100	11336
1350851400	11288
1350851700	11211
1350852000	11307
1350852300	11415
1350852600	11096
1350852900	11048
1350853200	11605
1350853500	11128
1350853800	10832
1350854100	11384
1350854400	11461
1350854700	11172
1350855000	11179
1350855300	10896
1350855600	11080
1350855900	10986
1350856200	10869
1350856500	10844
1350856800	11774
1350857100	11145
1350857400	10993
1350857700	10772
1350858000	11183
1350858300	11074
